Idx,Name,Date of Birth,Year,Month,Day,Quarter,Club,Country,(Millions of Euros)
668,SergeAurier,24/12/1992,1992,12,24,4,FCToulouse,Coted'Ivoire,6.5
669,LorenzoMelgarejo,10/08/1990,1990,8,10,3,KubanKrasnodar,Paraguay,6.5
670,BenjaminCorgnet,06/04/1987,1987,4,6,2,ASSaint-Étienne,France,6.5
671,VladimírDarida,08/08/1990,1990,8,8,3,SCFreiburg,CzechRepublic,6.5
672,JonathanTah,11/02/1996,1996,2,11,1,HamburgerSV,Germany,6.5
673,DiegoBenaglio,08/09/1983,1983,9,8,3,VfLWolfsburg,Switzerland,6
674,JermainDefoe,07/10/1982,1982,10,7,4,TorontoFC,England,6
675,AaronHunt,04/09/1986,1986,9,4,3,SVWerderBremen,Germany,6
676,AlbertoGilardino,05/07/1982,1982,7,5,3,GenoaCFC,Italy,6
677,EstebanCambiasso,18/08/1980,1980,8,18,3,InterMilan,Argentina,6
678,DaleyBlind,09/03/1990,1990,3,9,1,AFCAjaxAmsterdam,Netherlands,6
679,JoãoPereira,25/02/1984,1984,2,25,1,ValenciaCF,Portugal,6
680,TomHuddlestone,28/12/1986,1986,12,28,4,HullCity,England,6
681,PirminSchwegler,09/03/1987,1987,3,9,1,EintrachtFrankfurt,Switzerland,6
682,VasiliBerezutski,20/06/1982,1982,6,20,2,CSKAMoscow,Russia,6
683,VladislavKulik,27/02/1985,1985,2,27,1,RubinKazan,Russia,6
684,AndoniIraola,22/06/1982,1982,6,22,2,AthleticClub,Spain,6
685,Casemiro,23/02/1992,1992,2,23,1,RealMadrid,Brazil,6
686,MarcellJansen,04/11/1985,1985,11,4,4,HamburgerSV,Germany,6
687,YoannGourcuff,11/07/1986,1986,7,11,3,OlympiqueLyon,France,6
688,ChristianGentner,14/08/1985,1985,8,14,3,VfBStuttgart,Germany,6
689,AndrésGuardado,28/09/1986,1986,9,28,3,Bayer04Leverkusen,Mexico,6
690,AidenMcGeady,04/04/1986,1986,4,4,2,EvertonFC,Ireland,6
691,AlessandroDiamanti,02/05/1983,1983,5,2,2,GuangzhouEvergrandeF.C.,Italy,6
692,VladimirGabulov,19/10/1983,1983,10,19,4,DinamoMoscow,Russia,6
693,JamesMorrison,25/05/1986,1986,5,25,2,WestBromwichAlbion,Scotland,6
694,AtsutoUchida,27/03/1988,1988,3,27,1,FCSchalke04,Japan,6
695,ChoriCastro,14/09/1984,1984,9,14,3,RealSociedad,Uruguay,6
696,JesúsGámez,10/04/1985,1985,4,10,2,MálagaCF,Spain,6
697,VurnonAnita,04/04/1989,1989,4,4,2,NewcastleUnited,Netherlands,6
698,ScottSinclair,25/03/1989,1989,3,25,1,WestBromwichAlbion,England,6
699,DiegoSouza,17/06/1985,1985,6,17,2,MetalistKharkiv,Brazil,6
700,Vieirinha,24/01/1986,1986,1,24,1,VfLWolfsburg,Portugal,6
701,FernandoAmorebieta,29/03/1985,1985,3,29,1,FulhamFC,Venezuela,6
702,ImanolAgirretxe,24/02/1987,1987,2,24,1,RealSociedad,Spain,6
703,WinstonReid,03/07/1988,1988,7,3,3,WestHamUnited,NewZealand,6
704,JozyAltidore,06/11/1989,1989,11,6,4,SunderlandAFC,UnitedStates,6
705,AndriyPyatov,28/06/1984,1984,6,28,2,ShakhtarDonetsk,Ukraine,6
706,RyanBertrand,05/08/1989,1989,8,5,3,AstonVilla,England,6
707,SvenUlreich,03/08/1988,1988,8,3,3,VfBStuttgart,Germany,6
708,DiegoAlves,24/06/1985,1985,6,24,2,ValenciaCF,Brazil,6
709,JelleVossen,22/03/1989,1989,3,22,1,KRCGenk,Belgium,6
710,BenoîtTrémoulinas,28/12/1985,1985,12,28,4,ASSaint-Étienne,France,6
711,ClémentChantôme,11/09/1987,1987,9,11,3,FCToulouse,France,6
712,AdelTaarabt,24/05/1989,1989,5,24,2,ACMilan,Morocco,6
713,FedericoFazio,17/03/1987,1987,3,17,1,SevillaFC,Argentina,6
714,ClaudioYacob,18/07/1987,1987,7,18,3,WestBromwichAlbion,Argentina,6
715,MateoMusacchio,26/08/1990,1990,8,26,3,VillarrealCF,Argentina,6
716,CenkTosun,07/06/1991,1991,6,7,2,Gaziantepspor,Turkey,6
717,WilliamVainqueur,19/11/1988,1988,11,19,4,StandardLiège,France,6
718,DmitriTarasov,18/03/1987,1987,3,18,1,LokomotivMoscow,Russia,6
719,SimonKjaer,26/03/1989,1989,3,26,1,OSCLille,Denmark,6
720,LuizAdriano,12/04/1987,1987,4,12,2,ShakhtarDonetsk,Brazil,6
721,DannyRose,02/07/1990,1990,7,2,3,TottenhamHotspur,England,6
722,NicolásSpolli,20/02/1983,1983,2,20,1,CalcioCatania,Argentina,6
723,MarcoHöger,16/09/1989,1989,9,16,3,FCSchalke04,Germany,6
724,ÁlvaroGonzález,29/10/1984,1984,10,29,4,SSLazio,Uruguay,6
725,AlyCissokho,15/09/1987,1987,9,15,3,LiverpoolFC,France,6
726,OlegShatov,29/07/1990,1990,7,29,3,ZenitSt.Petersburg,Russia,6
727,PapaGueye,07/06/1984,1984,6,7,2,MetalistKharkiv,Senegal,6
728,EvgenSeleznev,20/07/1985,1985,7,20,3,DniproDnipropetrovsk,Ukraine,6
729,OdilAkhmedov,25/11/1987,1987,11,25,4,AnzhiMakhachkala,Uzbekistan,6
730,VicenteIborra,16/01/1988,1988,1,16,1,SevillaFC,Spain,6
731,Jean,24/06/1986,1986,6,24,2,FluminenseFootballClub,Brazil,6
732,LucianoNarsingh,13/09/1990,1990,9,13,3,PSVEindhoven,Netherlands,6
733,Josué,17/09/1990,1990,9,17,3,FCPorto,Portugal,6
734,StevenN'Zonzi,15/12/1988,1988,12,15,4,StokeCity,France,6
735,DorlanPabón,24/01/1988,1988,1,24,1,SãoPauloFutebolClube,Colombia,6
736,RúbenMicael,19/08/1986,1986,8,19,3,SCBraga,Portugal,6
737,MarcoParolo,25/01/1985,1985,1,25,1,ParmaFC,Italy,6
738,AntonioRüdiger,03/03/1993,1993,3,3,1,VfBStuttgart,Germany,6
739,EduardoVargas,20/11/1989,1989,11,20,4,ValenciaCF,Chile,6
740,LucCastaignos,27/09/1992,1992,9,27,3,FCTwenteEnschede,Netherlands,6
741,FacundoFerreyra,14/03/1991,1991,3,14,1,ShakhtarDonetsk,Argentina,6
742,RobinKnoche,22/05/1992,1992,5,22,2,VfLWolfsburg,Germany,6
743,RubénPardo,22/10/1992,1992,10,22,4,RealSociedad,Spain,6
744,AymenAbdennour,06/08/1989,1989,8,6,3,ASMonaco,Tunisia,6
745,StefandeVrij,05/02/1992,1992,2,5,1,FeyenoordRotterdam,Netherlands,6
746,BrunoMartinsIndi,08/02/1992,1992,2,8,1,FeyenoordRotterdam,Netherlands,6
747,CedricSoares,31/08/1991,1991,8,31,3,SportingLisbon,Portugal,6
748,MaximilianArnold,27/05/1994,1994,5,27,2,VfLWolfsburg,Germany,6
749,RodrigoMoledo,27/10/1987,1987,10,27,4,MetalistKharkiv,Brazil,6
750,MaksymKoval,09/12/1992,1992,12,9,4,DynamoKyiv,Ukraine,6
751,LisandroLópez,01/09/1989,1989,9,1,3,GetafeCF,Argentina,6
752,CarlJenkinson,08/02/1992,1992,2,8,1,ArsenalFC,England,6
753,PacoAlcácer,30/08/1993,1993,8,30,3,ValenciaCF,Spain,6
754,LuisAlberto,28/09/1992,1992,9,28,3,LiverpoolFC,Spain,6
755,GiannelliImbula,12/09/1992,1992,9,12,3,OlympiqueMarseille,France,6
756,OgenyiOnazi,25/12/1992,1992,12,25,4,SSLazio,Nigeria,6
757,ManuelLanzini,15/02/1993,1993,2,15,1,ClubAtléticoRiverPlate,Argentina,6
758,Rômulo,19/09/1990,1990,9,19,3,SpartakMoscow,Brazil,6
759,TomásKalas,15/05/1993,1993,5,15,2,ChelseaFC,CzechRepublic,6
760,AderlanSantos,09/04/1989,1989,4,9,2,SCBraga,Brazil,6
761,JavierManquillo,05/05/1994,1994,5,5,2,AtléticodeMadrid,Spain,6
762,AdnanJanuzaj,05/02/1995,1995,2,5,1,ManchesterUnited,Belgium,6
763,Wallace,01/05/1994,1994,5,1,2,InterMilan,Brazil,6
764,ChristianAtsu,10/01/1992,1992,1,10,1,VitesseArnhem,Ghana,6
765,Dória,08/11/1994,1994,11,8,4,BotafogodeFuteboleRegatas,Brazil,6
766,LeoBaptistão,26/08/1992,1992,8,26,3,RealBetisBalompié,Brazil,6
767,AlexTelles,15/12/1992,1992,12,15,4,GalatasaraySK,Brazil,6
768,KevinKuranyi,02/03/1982,1982,3,2,1,DinamoMoscow,Germany,5.8
769,OlcaySahan,26/05/1987,1987,5,26,2,BesiktasJK,Turkey,5.75
770,NolanRoux,01/03/1988,1988,3,1,1,OSCLille,France,5.75
771,VeyselSari,25/07/1988,1988,7,25,3,GalatasaraySK,Turkey,5.75
772,RobertoJiménez,10/02/1986,1986,2,10,1,OlympiacosPiraeus,Spain,5.6
773,AntonioCassano,12/07/1982,1982,7,12,3,ParmaFC,Italy,5.5
774,VolkanDemirel,27/10/1981,1981,10,27,4,FenerbahceSK,Turkey,5.5
775,EgemenKorkmaz,03/11/1982,1982,11,3,4,FenerbahceSK,Turkey,5.5
776,Alex,17/06/1982,1982,6,17,2,ParisSaint-Germain,Brazil,5.5
777,MattJarvis,22/05/1986,1986,5,22,2,WestHamUnited,England,5.5
778,UrbyEmanuelson,16/06/1986,1986,6,16,2,ACMilan,Netherlands,5.5
779,AntonioMirante,08/07/1983,1983,7,8,3,ParmaFC,Italy,5.5
780,LoïcPerrin,07/08/1985,1985,8,7,3,ASSaint-Étienne,France,5.5
781,RobertSnodgrass,07/09/1987,1987,9,7,3,NorwichCity,Scotland,5.5
782,VasilisTorosidis,10/06/1985,1985,6,10,2,ASRoma,Greece,5.5
783,FernandoBelluschi,10/09/1983,1983,9,10,3,Bursaspor,Argentina,5.5
784,StevenDavis,01/01/1985,1985,1,1,1,SouthamptonFC,NorthernIreland,5.5
785,JuanVargas,05/10/1983,1983,10,5,4,ACFiorentina,Peru,5.5
786,CristianVillagra,27/12/1985,1985,12,27,4,MetalistKharkiv,Argentina,5.5
787,GermánDenis,10/09/1981,1981,9,10,3,AtalantaBC,Argentina,5.5
788,OlaToivonen,03/07/1986,1986,7,3,3,StadeRennaisFC,Sweden,5.5
789,ManueldaCosta,06/05/1986,1986,5,6,2,Sivasspor,Portugal,5.5
790,NenadTomovic,30/08/1987,1987,8,30,3,ACFiorentina,Serbia,5.5
791,TonyJantschke,07/04/1990,1990,4,7,2,BorussiaMönchengladbach,Germany,5.5
792,SebastiánBlanco,15/03/1988,1988,3,15,1,MetalistKharkiv,Argentina,5.5
793,Jean-ArmelKana-Biyik,03/07/1989,1989,7,3,3,StadeRennaisFC,Cameroon,5.5
794,DiegoÂngelo,12/02/1986,1986,2,12,1,Eskisehirspor,Brazil,5.5
795,MiguelBritos,17/07/1985,1985,7,17,3,SSCNapoli,Uruguay,5.5
796,ChristophKramer,19/02/1991,1991,2,19,1,BorussiaMönchengladbach,Germany,5.5
797,MarcosRojo,20/03/1990,1990,3,20,1,SportingLisbon,Argentina,5.5
798,AbdelazizBarrada,19/06/1989,1989,6,19,2,Al-Jazira(AbuDhabi),Morocco,5.5
799,LamineSané,22/03/1987,1987,3,22,1,FCGirondinsBordeaux,Senegal,5.5
800,NampalysMendy,23/06/1992,1992,6,23,2,OGCNizza,France,5.5
801,ZakariaLabyad,09/03/1993,1993,3,9,1,VitesseArnhem,Morocco,5.5
802,NicolaLeali,17/02/1993,1993,2,17,1,SpeziaCalcio,Italy,5.5
803,YannickFerreira-Carrasco,04/09/1993,1993,9,4,3,ASMonaco,Belgium,5.5
804,BenDavies,24/04/1993,1993,4,24,2,SwanseaCity,Wales,5.5
805,GustavoColman,19/04/1985,1985,4,19,2,Trabzonspor,Argentina,5.25
806,Xandão,23/02/1988,1988,2,23,1,KubanKrasnodar,Brazil,5.2
807,RomanWeidenfeller,06/08/1980,1980,8,6,3,BorussiaDortmund,Germany,5
808,AshleyCole,20/12/1980,1980,12,20,4,ChelseaFC,England,5
809,GarethBarry,23/02/1981,1981,2,23,1,EvertonFC,England,5
810,KevinNolan,24/06/1982,1982,6,24,2,WestHamUnited,England,5
811,StewartDowning,22/07/1984,1984,7,22,3,WestHamUnited,England,5
812,MaartenStekelenburg,22/09/1982,1982,9,22,3,FulhamFC,Netherlands,5
813,StijnSchaars,11/01/1984,1984,1,11,1,PSVEindhoven,Netherlands,5
814,GianluigiBuffon,28/01/1978,1978,1,28,1,JuventusFC,Italy,5
815,CédricCarrasso,30/12/1981,1981,12,30,4,FCGirondinsBordeaux,France,5
816,AleksandrRyazantsev,05/09/1986,1986,9,5,3,ZenitSt.Petersburg,Russia,5
817,JonatanSoriano,24/09/1985,1985,9,24,3,RedBullSalzburg,Spain,5
818,OlegGusev,25/04/1983,1983,4,25,2,DynamoKyiv,Ukraine,5
819,LudovicObraniak,10/11/1984,1984,11,10,4,SVWerderBremen,Poland,5
820,BrunoAlves,27/11/1981,1981,11,27,4,FenerbahceSK,Portugal,5
821,Luisão,13/02/1981,1981,2,13,1,SLBenfica,Brazil,5
822,DarrenBent,06/02/1984,1984,2,6,1,FulhamFC,England,5
823,IbrahimAfellay,02/04/1986,1986,4,2,2,FCBarcelona,Netherlands,5
824,ÉdgarBarreto,15/07/1984,1984,7,15,3,USPalermo,Paraguay,5
825,BenoîtAssou-Ekotto,24/03/1984,1984,3,24,1,QueensParkRangers,Cameroon,5
826,PanagiotisKone,26/07/1987,1987,7,26,3,BolognaFC1909,Greece,5
827,WillyCaballero,28/09/1981,1981,9,28,3,MálagaCF,Argentina,5
828,MatíasSilvestre,25/09/1984,1984,9,25,3,ACMilan,Argentina,5
829,ChristianMaggio,11/02/1982,1982,2,11,1,SSCNapoli,Italy,5
830,Nilmar,14/07/1984,1984,7,14,3,El-JaishSportsClub,Brazil,5
831,OndrejMazuch,15/03/1989,1989,3,15,1,DniproDnipropetrovsk,CzechRepublic,5
832,EmilianoViviano,01/12/1985,1985,12,1,4,ArsenalFC,Italy,5
833,IvánRamis,25/10/1984,1984,10,25,4,WiganAthletic,Spain,5
834,LuchoGonzález,19/01/1981,1981,1,19,1,Al-RayyanSportsClub,Argentina,5
835,LeandroFernández,30/01/1983,1983,1,30,1,DinamoMoscow,Argentina,5
836,LisandroLópez,02/03/1983,1983,3,2,1,Al-GharafaSportsClub,Argentina,5
837,OgnjenVukojevic,20/12/1983,1983,12,20,4,DynamoKyiv,Croatia,5
838,ChristopheJallet,31/10/1983,1983,10,31,4,ParisSaint-Germain,France,5
839,CharlieAdam,10/12/1985,1985,12,10,4,StokeCity,Scotland,5
840,Jádson,05/10/1983,1983,10,5,4,SportClubCorinthiansPaulista,Brazil,5
841,GuillermoOchoa,13/07/1985,1985,7,13,3,ACAjaccio,Mexico,5
842,VeliKavlak,03/11/1988,1988,11,3,4,BesiktasJK,Austria,5
843,RonVlaar,16/02/1985,1985,2,16,1,AstonVilla,Netherlands,5
844,ZlatkoJunuzovic,26/09/1987,1987,9,26,3,SVWerderBremen,Austria,5
845,VladimirGranat,22/05/1987,1987,5,22,2,DinamoMoscow,Russia,5
846,MartinHarnik,10/06/1987,1987,6,10,2,VfBStuttgart,Austria,5
847,SebastianLarsson,06/06/1985,1985,6,6,2,SunderlandAFC,Sweden,5
848,Naldo,10/09/1982,1982,9,10,3,VfLWolfsburg,Brazil,5
849,CristianRodríguez,30/09/1985,1985,9,30,3,AtléticodeMadrid,Uruguay,5
850,CristianZapata,30/09/1986,1986,9,30,3,ACMilan,Colombia,5
851,LasseSchöne,27/05/1986,1986,5,27,2,AFCAjaxAmsterdam,Denmark,5
852,MarkoMarin,13/03/1989,1989,3,13,1,SevillaFC,Germany,5
853,MikelGonzález,24/09/1985,1985,9,24,3,RealSociedad,Spain,5
854,NikolaKalinic,05/01/1988,1988,1,5,1,DniproDnipropetrovsk,Croatia,5
855,ChrisBrunt,14/12/1984,1984,12,14,4,WestBromwichAlbion,NorthernIreland,5
856,AntonShunin,27/01/1987,1987,1,27,1,DinamoMoscow,Russia,5
857,AykutDemir,22/10/1988,1988,10,22,4,Trabzonspor,Turkey,5
858,FelipeCaicedo,05/09/1988,1988,9,5,3,Al-Jazira(AbuDhabi),Ecuador,5
859,MatiFernández,15/05/1986,1986,5,15,2,ACFiorentina,Chile,5
860,IvelinPopov,26/10/1987,1987,10,26,4,KubanKrasnodar,Bulgaria,5
861,VadisOdjidja-Ofoe,21/02/1989,1989,2,21,1,ClubBruggeKV,Belgium,5
862,Ari,11/12/1985,1985,12,11,4,FKKrasnodar,Brazil,5
863,BradGuzan,09/09/1984,1984,9,9,3,AstonVilla,UnitedStates,5
864,VictorAnichebe,23/04/1988,1988,4,23,2,WestBromwichAlbion,Nigeria,5
865,IvanStrinic,17/07/1987,1987,7,17,3,DniproDnipropetrovsk,Croatia,5
866,MorganAmalfitano,20/03/1985,1985,3,20,1,WestBromwichAlbion,France,5
867,MilanBadelj,25/02/1989,1989,2,25,1,HamburgerSV,Croatia,5
868,FabianLustenberger,02/05/1988,1988,5,2,2,HerthaBSC,Switzerland,5
869,AndréHahn,13/08/1990,1990,8,13,3,FCAugsburg,Germany,5
870,KévinConstant,15/05/1987,1987,5,15,2,ACMilan,Guine,5
871,EstebanGranero,02/07/1987,1987,7,2,3,RealSociedad,Spain,5
872,YoussufMulumbu,25/01/1987,1987,1,25,1,WestBromwichAlbion,CongoDR,5
873,JoelObi,22/05/1991,1991,5,22,2,ParmaFC,Nigeria,5
874,EmilianoInsúa,07/01/1989,1989,1,7,1,AtléticodeMadrid,Argentina,5
875,MubarakWakaso,25/07/1990,1990,7,25,3,RubinKazan,Ghana,5
876,DomagojVida,29/04/1989,1989,4,29,2,DynamoKyiv,Croatia,5
877,IgorSmolnikov,08/08/1988,1988,8,8,3,ZenitSt.Petersburg,Russia,5
878,BogdanStancu,28/06/1987,1987,6,28,2,GenclerbirligiAnkara,Romania,5
879,RickieLambert,16/02/1982,1982,2,16,1,SouthamptonFC,England,5
880,TimMatavz,13/01/1989,1989,1,13,1,PSVEindhoven,Slovenia,5
881,FabianDelph,21/11/1989,1989,11,21,4,AstonVilla,England,5
882,Licá,08/09/1988,1988,9,8,3,FCPorto,Portugal,5
883,SergioAsenjo,28/06/1989,1989,6,28,2,VillarrealCF,Spain,5
884,WálterGargano,23/07/1984,1984,7,23,3,ParmaFC,Uruguay,5
885,GonzaloBergessio,20/07/1984,1984,7,20,3,CalcioCatania,Argentina,5
886,DidierDigard,12/07/1986,1986,7,12,3,OGCNizza,France,5
887,RenatoAugusto,08/02/1988,1988,2,8,1,SportClubCorinthiansPaulista,Brazil,5
888,AlbertoBotía,27/01/1989,1989,1,27,1,ElcheCF,Spain,5
889,JonathanCristaldo,05/03/1989,1989,3,5,1,BolognaFC1909,Argentina,5
890,Mariano,23/06/1986,1986,6,23,2,FCGirondinsBordeaux,Brazil,5
891,DaniloD'Ambrosio,09/09/1988,1988,9,9,3,InterMilan,Italy,5
892,Neto,26/05/1988,1988,5,26,2,ZenitSt.Petersburg,Portugal,5
893,Wanderson,18/02/1986,1986,2,18,1,FKKrasnodar,Brazil,5
894,CharlesKaboré,09/02/1988,1988,2,9,1,KubanKrasnodar,BurkinaFaso,5
895,CarlosMartínez,09/04/1986,1986,4,9,2,RealSociedad,Spain,5
896,IgnacioCamacho,04/05/1990,1990,5,4,2,MálagaCF,Spain,5
897,NachoFernández,18/01/1990,1990,1,18,1,RealMadrid,Spain,5
898,JuniorHoilett,05/06/1990,1990,6,5,2,QueensParkRangers,Canada,5
899,DarylJanmaat,22/07/1989,1989,7,22,3,FeyenoordRotterdam,Netherlands,5
900,BrunoEcueleManga,16/07/1988,1988,7,16,3,FCLorient,Gabon,5
901,FacundoRoncaglia,10/02/1987,1987,2,10,1,ACFiorentina,Argentina,5
902,JamesTomkins,29/03/1989,1989,3,29,1,WestHamUnited,England,5
903,EmmanuelRivière,03/03/1990,1990,3,3,1,ASMonaco,France,5
904,VíctorRuiz,25/01/1989,1989,1,25,1,ValenciaCF,Spain,5
905,LiborKozak,30/05/1989,1989,5,30,2,AstonVilla,CzechRepublic,5
906,VicenteGuaita,10/01/1987,1987,1,10,1,ValenciaCF,Spain,5
907,SergioCanales,16/02/1991,1991,2,16,1,RealSociedad,Spain,5
908,FranckTabanou,30/01/1989,1989,1,30,1,ASSaint-Étienne,France,5
909,MarcoFabián,21/07/1989,1989,7,21,3,CDCruzAzul,Mexico,5
910,RafaelCarioca,18/06/1989,1989,6,18,2,SpartakMoscow,Brazil,5
911,AlbertoPaloschi,04/01/1990,1990,1,4,1,ChievoVerona,Italy,5
912,JoséAlbertoCañas,27/05/1987,1987,5,27,2,SwanseaCity,Spain,5
913,JonathanSchmid,22/06/1990,1990,6,22,2,SCFreiburg,France,5
914,Maicón,18/02/1990,1990,2,18,1,LokomotivMoscow,Brazil,5
915,Réver,04/01/1985,1985,1,4,1,ClubeAtléticoMineiro,Brazil,5
916,AlbertodelaBella,02/12/1985,1985,12,2,4,RealSociedad,Spain,5
917,DavidOspina,31/08/1988,1988,8,31,3,OGCNizza,Colombia,5
918,Alan,10/07/1989,1989,7,10,3,RedBullSalzburg,Brazil,5
919,AatifChahechouhe,02/07/1986,1986,7,2,3,Sivasspor,Morocco,5
920,Paul-JoséMpoku,19/04/1992,1992,4,19,2,StandardLiège,Belgium,5
921,Elias,16/05/1985,1985,5,16,2,SportingLisbon,Brazil,5
922,AbelHernández,08/08/1990,1990,8,8,3,USPalermo,Uruguay,5
923,MattPhillips,13/03/1991,1991,3,13,1,QueensParkRangers,Scotland,5
924,NecipUysal,24/01/1991,1991,1,24,1,BesiktasJK,Turkey,5
925,AlfredN'Diaye,06/03/1990,1990,3,6,1,RealBetisBalompié,Senegal,5
926,MartinKelly,27/04/1990,1990,4,27,2,LiverpoolFC,England,5
927,JeroenZoet,06/01/1991,1991,1,6,1,PSVEindhoven,Netherlands,5
928,NicolaSansone,10/09/1991,1991,9,10,3,USSassuolo,Italy,5
929,GökhanTöre,20/01/1992,1992,1,20,1,BesiktasJK,Turkey,5
930,MoritzLeitner,08/12/1992,1992,12,8,4,VfBStuttgart,Germany,5
931,Sílvio,28/09/1987,1987,9,28,3,SLBenfica,Portugal,5
932,RubénBotta,31/01/1990,1990,1,31,1,InterMilan,Argentina,5
933,GiulioDonati,05/02/1990,1990,2,5,1,Bayer04Leverkusen,Italy,5
934,VáclavKadlec,20/05/1992,1992,5,20,2,EintrachtFrankfurt,CzechRepublic,5
935,Ja-CheolKoo,27/02/1989,1989,2,27,1,1.FSVMainz05,"Korea,South",5
936,ChrisMavinga,26/05/1991,1991,5,26,2,RubinKazan,France,5
937,ConnorWickham,31/03/1993,1993,3,31,1,LeedsUnited,England,5
938,IlombeMboyo,22/04/1987,1987,4,22,2,KRCGenk,Belgium,5
939,SimoneZaza,25/06/1991,1991,6,25,2,USSassuolo,Italy,5
940,DenisCheryshev,26/12/1990,1990,12,26,4,SevillaFC,Russia,5
941,Ralf,09/06/1984,1984,6,9,2,SportClubCorinthiansPaulista,Brazil,5
942,MatejVydra,01/05/1992,1992,5,1,2,WestBromwichAlbion,CzechRepublic,5
943,WahbiKhazri,08/02/1991,1991,2,8,1,SCBastia,Tunisia,5
944,LukmanHaruna,04/12/1990,1990,12,4,4,DynamoKyiv,Nigeria,5
945,AllanNyom,10/05/1988,1988,5,10,2,GranadaCF,Cameroon,5
946,Suso,19/11/1993,1993,11,19,4,UDAlmería,Spain,5
947,YuriLodygin,26/05/1990,1990,5,26,2,ZenitSt.Petersburg,Russia,5
948,IdrissaGueye,26/09/1989,1989,9,26,3,OSCLille,Senegal,5
949,JackButland,10/03/1993,1993,3,10,1,LeedsUnited,England,5
950,NickPowell,23/03/1994,1994,3,23,1,WiganAthletic,England,5
951,AndréCarrillo,14/06/1991,1991,6,14,2,SportingLisbon,Peru,5
952,JasperCillessen,22/04/1989,1989,4,22,2,AFCAjaxAmsterdam,Netherlands,5
953,WissamBenYedder,12/08/1990,1990,8,12,3,FCToulouse,France,5
954,ÁlvaroVadillo,12/09/1994,1994,9,12,3,RealBetisBalompié,Spain,5
955,Kelvin,01/06/1993,1993,6,1,2,FCPorto,Brazil,5
956,MemphisDepay,13/02/1994,1994,2,13,1,PSVEindhoven,Netherlands,5
957,AnthonyMartial,05/12/1995,1995,12,5,4,ASMonaco,France,5
958,AlfredDuncan,10/03/1993,1993,3,10,1,ASLivorno,Ghana,5
959,SadioMané,10/04/1992,1992,4,10,2,RedBullSalzburg,Senegal,5
960,PauloDybala,15/11/1993,1993,11,15,4,USPalermo,Argentina,5
961,TinJedvaj,28/11/1995,1995,11,28,4,ASRoma,Croatia,5
962,RubénGarcía,14/07/1993,1993,7,14,3,LevanteUD,Spain,5
963,ImohEzekiel,24/10/1993,1993,10,24,4,StandardLiège,Nigeria,5
964,AndréGomes,30/07/1993,1993,7,30,3,SLBenfica,Portugal,5
965,ÁngelCorrea,09/03/1995,1995,3,9,1,ClubAtléticoSanLorenzodeAlmagro,Argentina,5
966,MustafaPektemek,11/08/1988,1988,8,11,3,BesiktasJK,Turkey,4.8
967,GeorgiMilanov,19/02/1992,1992,2,19,1,CSKAMoscow,Bulgaria,4.8
968,EmmanuelEboué,04/06/1983,1983,6,4,2,GalatasaraySK,Coted'Ivoire,4.75
969,PauloHenrique,13/03/1989,1989,3,13,1,Trabzonspor,Brazil,4.75
970,YohanMollo,18/07/1989,1989,7,18,3,ASSaint-Étienne,France,4.75
971,GueïdaFofana,16/05/1991,1991,5,16,2,OlympiqueLyon,France,4.75
972,LucasCastro,09/04/1989,1989,4,9,2,CalcioCatania,Argentina,4.7
973,OribePeralta,12/01/1984,1984,1,12,1,SantosLaguna,Mexico,4.6
974,MarcoBorriello,18/06/1982,1982,6,18,2,WestHamUnited,Italy,4.5
975,FabricioColoccini,22/01/1982,1982,1,22,1,NewcastleUnited,Argentina,4.5
976,KaluUche,15/11/1982,1982,11,15,4,Al-RayyanSportsClub,Nigeria,4.5
977,ChristianFuchs,07/04/1986,1986,4,7,2,FCSchalke04,Austria,4.5
978,SejadSalihovic,08/10/1984,1984,10,8,4,TSG1899Hoffenheim,Bosnia-Herzegovina,4.5
979,UmutBulut,15/03/1983,1983,3,15,1,GalatasaraySK,Turkey,4.5
980,ScottBrown,25/06/1985,1985,6,25,2,CelticFC,Scotland,4.5
981,WayneRoutledge,07/01/1985,1985,1,7,1,SwanseaCity,England,4.5
982,RyanBabel,19/12/1986,1986,12,19,4,KasimpasaSK,Netherlands,4.5
983,PierreWebó,20/01/1982,1982,1,20,1,FenerbahceSK,Cameroon,4.5
984,JérémyClément,26/08/1984,1984,8,26,3,ASSaint-Étienne,France,4.5
985,FedericoPeluso,20/01/1984,1984,1,20,1,JuventusFC,Italy,4.5
986,AntonioNocerino,09/04/1985,1985,4,9,2,WestHamUnited,Italy,4.5
987,LucaRigoni,07/12/1984,1984,12,7,4,ChievoVerona,Italy,4.5
988,ErkanZengin,05/08/1985,1985,8,5,3,Eskisehirspor,Sweden,4.5
989,ChrisEagles,19/11/1985,1985,11,19,4,BoltonWanderers,England,4.5
990,MilanBisevac,31/08/1983,1983,8,31,3,OlympiqueLyon,Serbia,4.5
991,SergeyRyzhikov,19/09/1980,1980,9,19,3,RubinKazan,Russia,4.5
992,RúbenAmorim,27/01/1985,1985,1,27,1,SLBenfica,Portugal,4.5
993,ZdravkoKuzmanovic,22/09/1987,1987,9,22,3,InterMilan,Serbia,4.5
994,EljeroElia,13/02/1987,1987,2,13,1,SVWerderBremen,Netherlands,4.5
995,JohnRuddy,24/10/1986,1986,10,24,4,NorwichCity,England,4.5
